 ID     SSSSSSSS.mmmuuun  CH  RISE  COUN  ENER  DURATION AMP A-FRQ    RMS ASL PCNTS THR R-FRQ I-FRQ SIG-STRNGTH  ABS-ENERGY FRQ-C P-FRQ
  1           38.8282928   3     0     3     0       228  41    13 0.0004  17     3  35     0  3000   1.867E+03   4.729E+00   557   454
  1           38.8355560   3     0     1     0         0  35     0 0.0004  18     1  35     0  1000   6.100E+00  82.114E-03   535   449
  1           38.8394175   3     0     1     0         0  37     0 0.0006  19     1  35     0  1000  24.400E+00 275.576E-03   537   449
  1           38.8534958   3     0     2     0       745  36     3 0.0006  19     1  35     1  1000   5.469E+03   9.931E+00   552   454
  1           38.8779243   3     0     1     0         3  37   333 0.0006  20     1  35     0  1000  85.400E+00 386.924E-03   559   449
  1           39.1759690   3     0     1     0         0  35     0 0.0004  15     1  35     0  1000   0.000E+00   0.000E+00   605   449
  1           40.7913002   3     0     1     0         0  35     0 0.0002  14     1  35     0  1000   6.100E+00  62.005E-03   590   449
  1           40.8208265   3     0     1     0         0  35     0 0.0004  16     1  35     0  1000   0.000E+00   0.000E+00   601   454
  1           41.2044012   3     0     2     0         1  36  2000 0.0002  14     1  35  1000  1000  51.850E+00 323.429E-03   598   439
  1           41.2065783   3     0     3     0        35  37    86 0.0002  14     2  35    29  2000 503.250E+00   1.854E+00   517   454
  1           41.2099653   3     0     1     0         0  35     0 0.0004  15     1  35     0  1000   0.000E+00   0.000E+00   618   444
  1           41.2275482   3     0     1     0         0  35     0 0.0004  16     1  35     0  1000   0.000E+00   0.000E+00   574   449
  1           41.3602490   3     0     1     0         0  35     0 0.0004  17     1  35     0  1000   0.000E+00   0.000E+00   601   454
  1           41.3897867   3     0     2     0       600  37     3 0.0004  17     1  35     1  1000   4.883E+03   9.290E+00   550   449
  1           41.3975870   3     0     1     0         0  35     0 0.0004  17     1  35     0  1000   6.100E+00  83.976E-03   578   156
  1           41.4146983   3     0     1     0         1  36  1000 0.0006  18     1  35     0  1000  45.750E+00 265.521E-03   562   444
  1           41.4324967   3     0     4     0       401  38    10 0.0006  19     3  35     2  3000   3.209E+03   7.182E+00   545   449
  1           41.4360213   3     0     1     0         0  35     0 0.0006  19     1  35     0  1000   0.000E+00   0.000E+00   554   463
  1           41.4396290   3     0     1     0         0  35     0 0.0006  20     1  35     0  1000   0.000E+00   0.000E+00   545   141
  1           41.4484372   3     0     1     0         0  35     0 0.0006  20     1  35     0  1000   6.100E+00  82.114E-03   573   151
  1           41.4526752   3     0     1     0         3  36   333 0.0006  21     1  35     0  1000  82.350E+00 393.999E-03   552   141
  1           41.5411983   3     0     2     0         5  40   400 0.0006  18     1  35   250  1000 228.750E+00   1.803E+00   537   449
  1           41.5469432   3     0     1     0         0  35     0 0.0006  18     1  35     0  1000   0.000E+00   0.000E+00   589   146
  1           41.5648795   3     0     2     0         1  37  2000 0.0004  17     1  35  1000  1000  57.950E+00 430.122E-03   594   449
  1           41.5668168   3     0     1     0         1  36  1000 0.0004  17     1  35     0  1000  54.900E+00 336.650E-03   586   146
  1           41.7670713   3     0     1     0         0  35     0 0.0004  16     1  35     0  1000   0.000E+00   0.000E+00   582   444
  1           41.7722647   3     0     1     0         0  35     0 0.0004  16     1  35     0  1000   6.100E+00  80.066E-03   572   151
  1           41.7744553   3     0     1     0         1  36  1000 0.0004  16     1  35     0  1000  54.900E+00 309.464E-03   553   185
  1           41.7803660   3     0     1     0         1  36  1000 0.0004  17     1  35     0  1000  57.950E+00 358.621E-03   579   454
  1           41.7877933   3     0     3     0         6  38   500 0.0004  17     2  35   200  2000 265.350E+00   1.475E+00   575   444
  1           42.4227677   3     0     1     0       157  35     6 0.0004  15     1  35     0  1000 854.000E+00   1.637E+00   577   146
  1           42.4288920   3     0     1     0         0  35     0 0.0004  15     1  35     0  1000   0.000E+00   0.000E+00   627   458
  1           42.4911733   3     0     2     0         4  38   500 0.0004  15     1  35   333  1000 152.500E+00 927.648E-03   573   454
  1           42.5117633   3     0     1     0         0  35     0 0.0004  15     1  35     0  1000   0.000E+00   0.000E+00   577   141
  1           42.5419663   3     0     1     0         0  35     0 0.0004  16     1  35     0  1000   0.000E+00   0.000E+00   634   439
